Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"ACCURAY INC",1138723,20-8370041,ARAY,"NASDAQ Global Select Market","1310 CHESAPEAKE TERRACE",,SUNNYVALE,"Santa Clara",CA,CALIFORNIA,"US West",94089,"(408) 716-4600",,,3841,"Surgical and Medical Instruments and Apparatus",339112,"Surgical and Medical Instrument Manufacturing",34,,"Grant Thornton LLP",6,,"San Jose",CA,CALIFORNIA,"US West",196126,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-06-30,2021,2021-08-17,,https://www.sec.gov/Archives/edgar/data/1138723/000156459021044920/0001564590-21-044920-index.htm,edgar/data/1138723/0001564590-21-044920.txt,10-K,"2021-08-17 16:43:31",,,,,0,,USD,"1,979,023","5,377","1,984,400",4.41,2021-07-02,"411,279,488",2021-06-30,"396,289,000","-6,311,000","10,445,000","480,098,000",,
"QUALYS, INC.",1107843,77-0534145,QLYS,"NASDAQ Global Select Market","919 E. HILLSDALE BLVD.",,"FOSTER CITY","San Mateo",CA,CALIFORNIA,"US West",94404,"(650) 801-6100",,,7372,"Prepackaged Software",511210,"Software Publishers",34,"S&P 400 MidCap","Grant Thornton LLP",6,,"San Jose",CA,CALIFORNIA,"US West",198895,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-22,,https://www.sec.gov/Archives/edgar/data/1107843/000143774922004075/0001437749-22-004075-index.htm,edgar/data/1107843/0001437749-22-004075.txt,10-K,"2022-02-22 16:31:19",,,,,0,,USD,"1,419,786",0,"1,419,786",140.98,2021-12-29,"5,473,422,336",2021-12-31,"411,172,000","70,960,000","422,722,000","814,559,000",,
"MCGRATH RENTCORP",752714,94-2579843,MGRC,"NASDAQ Global Select Market","5700 LAS POSITAS RD",,LIVERMORE,Alameda,CA,CALIFORNIA,"US West",94551,"(925) 606-9200",,,7359,"Equipment Rental and Leasing, NEC",532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",34,,"Grant Thornton LLP",6,,"San Jose",CA,CALIFORNIA,"US West",199120,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/752714/000156459022006230/0001564590-22-006230-index.htm,edgar/data/752714/0001564590-22-006230.txt,10-K,"2022-02-23 16:01:34",,,,,0,,USD,"1,869,669","44,405","1,914,074",79.55,2021-12-29,"1,928,814,464",2021-12-31,"616,833,000","89,705,000","417,254,000","1,460,601,000",,
"COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP",1170858,00-0000000,SBS,NYSE,"RUA COSTA CARVALHO, 300",*,"SAO PAULO",,D5,BRAZIL,Foreign,05429-900,011-55-11-3388-8000,,,4941,"Water Supply",221310,"Water Supply and Irrigation Systems",34,,"Grant Thornton LLP",6,"Grant Thornton Auditores Independentes (Active)","São Paulo",D5,BRAZIL,Foreign,206015,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-04-27,,https://www.sec.gov/Archives/edgar/data/1170858/000129281422001850/0001292814-22-001850-index.htm,edgar/data/1170858/0001292814-22-001850.txt,20-F,"2022-04-27 21:30:10",,,,,0,,USD,"297,002",0,"297,002",7.06,2021-12-29,"4,825,579,520",2021-12-31,"3,499,293,000","413,980,000","-2,069,477,000","9,544,970,000",,
"NATIONAL STEEL CO",1049659,00-0000000,SID,NYSE,"RUA LAURO MULLER","116 36 ANDAR","RIO DE JANEIRO",,D5,BRAZIL,Foreign,00000,,,,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",331111,"Iron and Steel Mills",34,,"Grant Thornton LLP",6,"Grant Thornton Auditores Independentes (Active)","São Paulo",D5,BRAZIL,Foreign,206494,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-05-17,,https://www.sec.gov/Archives/edgar/data/1049659/000129281422002374/0001292814-22-002374-index.htm,edgar/data/1049659/0001292814-22-002374.txt,20-F,"2022-05-17 21:50:38",,,,,0,,USD,"2,277,077","332,828","2,609,904",4.33,2021-12-29,"6,007,979,008",2021-12-31,"8,601,802,000","2,440,866,000","2,272,521,000","14,251,185,000",,
"CREDIT ACCEPTANCE CORP",885550,38-1999511,CACC,"NASDAQ Global Select Market","25505 WEST TWELVE MILE ROAD",,SOUTHFIELD,Oakland,MI,MICHIGAN,"US Midwest",48034-8334,"(248) 353-2700",,,6141,"Personal Credit Institutions",522291,"Consumer Lending",34,,"Grant Thornton LLP",6,,Southfield,MI,MICHIGAN,"US Midwest",197850,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-11,,https://www.sec.gov/Archives/edgar/data/885550/000088555022000009/0000885550-22-000009-index.htm,edgar/data/885550/0000885550-22-000009.txt,10-K,"2022-02-11 16:04:09",,,,,0,,USD,"900,000","200,000","1,100,000",670.27,2021-12-29,"9,745,471,488",2021-12-31,"1,856,000,000","958,300,000",,"7,050,900,000",,
"LITTELFUSE INC /DE",889331,36-3795742,LFUS,"NASDAQ Global Select Market","8755 WEST HIGGINS ROAD",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60631,"(773) 628-1000",,,3613,"Switchgear and Switchboard Apparatus",335313,"Switchgear and Switchboard Apparatus Manufacturing",34,"S&P 400 MidCap","Grant Thornton LLP",6,,Southfield,MI,MICHIGAN,"US Midwest",198289,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2022-01-01,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/889331/000088933122000011/0000889331-22-000011-index.htm,edgar/data/889331/0000889331-22-000011.txt,10-K,"2022-02-17 12:44:09",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"2,841,500","35,000","2,876,500",315.95,2022-01-03,"7,782,489,088",2022-01-01,"2,079,928,000","283,806,000","556,473,000","3,151,704,000",,
"CARVANA CO.",1690820,81-4549921,CVNA,NYSE,"300 E. RIO SALADO PARKWAY",,TEMPE,Maricopa,AZ,ARIZONA,"US Southwest",85281,"(480) 719-8809",,,5500,"Retail-Auto Dealers & Gasoline Stations",441120,"Used Car Dealers",34,,"Grant Thornton LLP",6,,Southfield,MI,MICHIGAN,"US Midwest",199899,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1690820/000169082022000080/0001690820-22-000080-index.htm,edgar/data/1690820/0001690820-22-000080.txt,10-K,"2022-02-24 16:45:04",,,,,0,,USD,"2,065,280","724,132","2,789,412",225.29,2021-12-29,"19,281,954,816",2021-12-31,"12,814,000,000","-135,000,000","293,000,000","7,015,000,000",,
"Bluerock Residential Growth REIT, Inc.",1442626,26-3136483,,,"712 FIFTH AVENUE, 9TH FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 843-1601",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,,"Grant Thornton LLP",6,,Southfield,MI,MICHIGAN,"US Midwest",202747,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-11,,https://www.sec.gov/Archives/edgar/data/1442626/000141057822000341/0001410578-22-000341-index.htm,edgar/data/1442626/0001410578-22-000341.txt,10-K,"2022-03-11 09:23:58",,,,,0,,USD,"809,000","201,000","1,010,000",26.73,2021-12-29,"702,213,376",2021-12-31,"203,689,000","91,712,000","1,113,578,000","2,599,333,000",,
"UNIVERSAL LOGISTICS HOLDINGS, INC.",1308208,38-3640097,ULH,"NASDAQ Global Select Market","12755 EAST NINE MILE ROAD",,WARREN,Macomb,MI,MICHIGAN,"US Midwest",48089,"(586) 920-0100",,,4213,"Trucking, Except Local",484121,"General Freight Trucking, Long-Distance, Truckload",34,,"Grant Thornton LLP",6,,Southfield,MI,MICHIGAN,"US Midwest",203333,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1308208/000156459022010645/0001564590-22-010645-index.htm,edgar/data/1308208/0001564590-22-010645.txt,10-K,"2022-03-16 16:16:02",,,,,0,,USD,"581,683","70,000","651,683",19.04,2021-12-29,"512,546,432",2021-12-31,"1,750,980,000","73,733,000","43,131,000","1,137,491,000",,
"ST JOE Co",745308,59-0432511,JOE,NYSE,"130 RICHARD JACKSON BLVD","SUITE 200","PANAMA CITY BEACH",Bay,FL,FLORIDA,"US Southeast",32407,"(850) 231-6400",,,6552,"Land Subdividers and Developers, Except Cemeteries",237210,"Land Subdivision",34,"S&P 600 SmallCap","Grant Thornton LLP",6,,Tampa,FL,FLORIDA,"US Southeast",199273,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/745308/000155837022001751/0001558370-22-001751-index.htm,edgar/data/745308/0001558370-22-001751.txt,10-K,"2022-02-23 16:37:30",,,,,0,,USD,"600,000",0,"600,000",51.48,2021-12-29,"3,031,273,728",2021-12-31,"266,996,000","174,149,000",,"1,208,151,000",,
"Welbilt, Inc.",1650962,47-4625716,,,"2227 WELBILT BOULEVARD",,"NEW PORT RICHEY",Pasco,FL,FLORIDA,"US Southeast",34655,"(727) 375-7010",,,3580,"Refrigeration & Service Industry Machinery",423440,"Other Commercial Equipment Merchant Wholesalers",34,,"Grant Thornton LLP",6,,Tampa,FL,FLORIDA,"US Southeast",201212,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1650962/000165096222000037/0001650962-22-000037-index.htm,edgar/data/1650962/0001650962-22-000037.txt,10-K,"2022-02-28 17:30:29",,,,,0,,USD,"2,530,000","450,000","2,980,000",23.78,2021-12-29,"3,383,764,480",2021-12-31,"1,546,900,000","70,300,000","-998,700,000","2,277,600,000",,
"HELIOS TECHNOLOGIES, INC.",1024795,59-2754337,HLIO,NYSE,"7456 SIXTEENTH STREET EAST",,SARASOTA,Manatee,FL,FLORIDA,"US Southeast",34243,"(941) 362-1200",,,3490,"Miscellaneous Fabricated Metal Products",332911,"Industrial Valve Manufacturing",34,,"Grant Thornton LLP",6,,Tampa,FL,FLORIDA,"US Southeast",201471,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2022-01-01,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1024795/000095017022002443/0000950170-22-002443-index.htm,edgar/data/1024795/0000950170-22-002443.txt,10-K,"2022-03-01 11:02:54",,,,,0,,USD,"1,679,000","73,547","1,752,547",102.77,2022-01-03,"3,329,858,048",2022-01-01,"869,200,000","104,600,000","-163,700,000","1,415,300,000",,
"OVERSEAS SHIPHOLDING GROUP INC",75208,13-2637623,OSG,NYSE,"TWO HARBOUR PLACE","302 KNIGHTS RUN AVENUE, SUITE 1200",TAMPA,Hillsborough,FL,FLORIDA,"US Southeast",33602,"(813) 209-0600",,,4412,"Deep Sea Foreign Transportation of  Freight",483111,"Deep Sea Freight Transportation",34,,"Grant Thornton LLP",6,,Tampa,FL,FLORIDA,"US Southeast",202521,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-09,,https://www.sec.gov/Archives/edgar/data/75208/000149315222006400/0001493152-22-006400-index.htm,edgar/data/75208/0001493152-22-006400.txt,10-K,"2022-03-09 16:06:06",,,,,0,,USD,"650,000","25,000","675,000",1.9,2021-12-29,"165,623,872",2021-12-31,"359,062,000","-46,252,000","315,997,000","1,115,729,000",,
"Ituran Location & Control Ltd.",1337117,00-0000000,ITRN,"NASDAQ Global Select Market","3 HASHIKMA STREET",,AZOOR,,L3,ISRAEL,Foreign,58001,972-3-557-1333,,,5065,"Electronic Parts and Equipment, NEC",517910,"Other Telecommunications",34,,"Grant Thornton LLP",6,"Fahn Kanne & Co","Tel Aviv",L3,ISRAEL,Foreign,205951,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-04-26,,https://www.sec.gov/Archives/edgar/data/1337117/000117891322001592/0001178913-22-001592-index.htm,edgar/data/1337117/0001178913-22-001592.txt,20-F,"2022-04-26 08:00:54",,,,,0,,USD,"573,000","7,000","580,000",26.25,2021-12-29,"616,230,080",2021-12-31,"270,884,000","34,256,000","75,708,000","293,021,000",,
"NGL Energy Partners LP",1504461,27-3427920,NGL,NYSE,"6120 S. YALE","SUITE 805",TULSA,Tulsa,OK,OKLAHOMA,"US Southwest",74136,"(918) 481-1119",,,4922,"Natural Gas Transmission",424710,"Petroleum Bulk Stations and Terminals",34,,"Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",195583,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-03-31,2021,2021-06-03,,https://www.sec.gov/Archives/edgar/data/1504461/000150446121000025/0001504461-21-000025-index.htm,edgar/data/1504461/0001504461-21-000025.txt,10-K,"2021-06-03 16:23:48",,,,,0,,USD,"2,149,000","7,000","2,156,000",2.03,2021-03-29,"262,211,104",2021-03-31,"5,227,023,000","-639,819,000","-577,267,000","5,947,341,000",,
"AMERICAS CARMART INC",799850,63-0851141,CRMT,"NASDAQ Global Select Market","1805 NORTH 2ND STREET","SUITE 401",ROGERS,Benton,AR,ARKANSAS,"US Southeast",72756,"(479) 464-9944",,,5500,"Retail-Auto Dealers & Gasoline Stations",441120,"Used Car Dealers",34,"S&P 600 SmallCap","Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",195845,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-04-30,2021,2021-07-02,,https://www.sec.gov/Archives/edgar/data/799850/000117184321004687/0001171843-21-004687-index.htm,edgar/data/799850/0001171843-21-004687.txt,10-K,"2021-07-02 14:06:32",,,,,0,,USD,"311,545",0,"311,545",149.62,2021-04-28,"989,424,640",2021-04-30,"808,065,000","104,139,000","399,516,000","822,159,000",,
"USA TRUCK INC",883945,71-0556971,,,"3200 INDUSTRIAL PARK ROAD",,"VAN BUREN",Crawford,AR,ARKANSAS,"US Southeast",72956,"(479) 471-2500",,,4213,"Trucking, Except Local",484121,"General Freight Trucking, Long-Distance, Truckload",34,,"Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",198503,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/883945/000088394522000009/0000883945-22-000009-index.htm,edgar/data/883945/0000883945-22-000009.txt,10-K,"2022-02-17 16:29:52",,,,,0,,USD,"430,000","14,725","444,725",19.58,2021-12-29,"174,013,136",2021-12-31,"710,387,000","24,768,000","92,379,000","364,035,000",,
"Vital Energy, Inc.",1528129,45-3007926,VTLE,NYSE,"521 E. SECOND STREET SOUTH","SUITE 1000",TULSA,Tulsa,OK,OKLAHOMA,"US Southwest",74120,"(918) 513-4570",,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"S&P 600 SmallCap","Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",199800,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1528129/000152812922000040/0001528129-22-000040-index.htm,edgar/data/1528129/0001528129-22-000040.txt,10-K,"2022-02-24 16:27:34",,,,,0,,USD,"825,000","19,610","844,610",64.45,2021-12-29,"1,100,203,392",2021-12-31,"1,394,075,000","145,008,000",,"2,551,824,000",,
"ALLIANCE RESOURCE PARTNERS LP",1086600,73-1564280,ARLP,"NASDAQ Global Select Market","1717 SOUTH BOULDER AVENUE",,TULSA,Tulsa,OK,OKLAHOMA,"US Southwest",74119,"(918) 295-7600",,,1221,"Bituminous Coal and Lignite Surface Mining",212111,"Bituminous Coal and Lignite Surface Mining",34,,"Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",200253,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1086600/000155837022002091/0001558370-22-002091-index.htm,edgar/data/1086600/0001558370-22-002091.txt,10-K,"2022-02-25 12:33:17",,,,,0,,USD,"670,000",0,"670,000",12.14,2021-12-29,"1,544,150,016",2021-12-31,"1,569,976,000","178,157,000","1,210,581,000","2,159,406,000",,
"HEARTLAND EXPRESS INC",799233,93-0926999,HTLD,"NASDAQ Global Select Market","901 HEARTLAND WAY",,"NORTH LIBERTY",Johnson,IA,IOWA,"US Midwest",52317,"(319) 645-7060",,,4213,"Trucking, Except Local",484121,"General Freight Trucking, Long-Distance, Truckload",34,"S&P 600 SmallCap","Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",200585,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/799233/000079923322000006/0000799233-22-000006-index.htm,edgar/data/799233/0000799233-22-000006.txt,10-K,"2022-02-25 16:54:08",,,,,0,,USD,"449,361","159,025","608,386",16.99,2021-12-29,"1,340,591,744",2021-12-31,"607,284,000","79,277,000","536,452,000","928,542,000",,
"AAON, INC.",824142,87-0448736,AAON,"NASDAQ Global Select Market","2425 SOUTH YUKON AVE.",,TULSA,Tulsa,OK,OKLAHOMA,"US Southwest",74107,"(918) 583-2266",,,3585,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment",333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Man",34,"S&P 600 SmallCap","Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",201114,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/824142/000082414222000034/0000824142-22-000034-index.htm,edgar/data/824142/0000824142-22-000034.txt,10-K,"2022-02-28 16:47:12",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"573,731",0,"573,731",79.71,2021-12-29,"4,179,038,208",2021-12-31,"534,517,000","58,758,000","310,322,000","650,180,000",,
"US XPRESS ENTERPRISES INC",923571,62-1378182,USX,NYSE,"4080 JENKINS ROAD",,CHATTANOOGA,Hamilton,TN,TENNESSEE,"US Southeast",37421,"(423) 510-3000",,,4213,"Trucking, Except Local",484110,"General Freight Trucking, Local",34,,"Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",201433,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/923571/000155837022002527/0001558370-22-002527-index.htm,edgar/data/923571/0001558370-22-002527.txt,10-K,"2022-03-01 13:59:29",,,,,0,,USD,"1,178,631","88,945","1,267,576",6,2021-12-29,"208,853,376",2021-12-31,"1,948,526,000","10,870,000","193,216,000","1,270,043,000",,
"PAM TRANSPORTATION SERVICES INC",798287,71-0633135,PTSI,"NASDAQ Global Market","297 WEST HENRI DE TONTI BLVD",,TONTITOWN,Washington,AR,ARKANSAS,"US Southeast",72770,"(479) 361-9111",,,4213,"Trucking, Except Local",484121,"General Freight Trucking, Long-Distance, Truckload",34,,"Grant Thornton LLP",6,,Tulsa,OK,OKLAHOMA,"US Southwest",202815,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-11,,https://www.sec.gov/Archives/edgar/data/798287/000143774922005995/0001437749-22-005995-index.htm,edgar/data/798287/0001437749-22-005995.txt,10-K,"2022-03-11 15:48:24",,,,,0,,USD,"305,000","24,345","329,345",71.34,2021-12-29,"1,593,344,768",2021-12-31,"707,120,000","76,516,000",,"587,381,000",,
"U.S. SILICA HOLDINGS, INC.",1524741,26-3718801,SLCA,NYSE,"24275 KATY FREEWAY","SUITE 600",KATY,"Fort Bend",TX,TEXAS,"US Southwest",77494,"(281) 258-2170",,,1400,"Mining & Quarrying of Nonmetallic Minerals (No Fuels)",212322,"Industrial Sand Mining",34,"S&P 600 SmallCap","Grant Thornton LLP",6,,Houston,TX,TEXAS,"US Southwest",207772,"Auditor Report","Yes (1)","Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1524741/000119312522266772/0001193125-22-266772-index.htm,edgar/data/1524741/0001193125-22-266772.txt,10-K/A,"2022-10-21 16:31:03",,,,,0,,USD,"1,153,614","31,500","1,185,114",9.31,2021-12-29,"694,258,304",2021-12-31,"1,103,879,000","-33,761,000","268,512,000","2,219,600,000",,
"IDEANOMICS, INC.",837852,20-1778374,IDEX,"NASDAQ Capital Market","1441 BROADWAY","5TH FLOOR, SUITE#5116","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10018,"(212) 206-1216",,,3711,"Motor Vehicles and Passenger Car Bodies",517110,"Wired Telecommunications Carriers",34,,"Grassi & Co CPAs PC",109,,Jericho,NY,"NEW YORK","US Mid Atlantic",207400,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-09-02,,https://www.sec.gov/Archives/edgar/data/837852/000162828022024271/0001628280-22-024271-index.htm,edgar/data/837852/0001628280-22-024271.txt,10-K,"2022-09-02 16:08:31","|Acc - PPE , intangible or fixed asset  (value/diminution) issues|Acc - Liabilities, payables, reserves and accrual estimate failures|Acc - Foreign, related party, affiliated and/or subsidiary issues|Acc - Revenue recognition issues|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Ineffective, non-existent or understaffed audit committee|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|IC - Non-routine transaction control issues|",15,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"2,804,000",0,"2,804,000",1.16,2021-12-29,"577,309,696",2021-12-31,"114,080,000","-256,011,000","305,582,000","473,437,000",,
"Vertex Energy Inc.",890447,94-3439569,VTNR,"NASDAQ Capital Market","1331 GEMINI STREET","SUITE 250",HOUSTON,Harris,TX,TEXAS,"US Southwest",77058,"(866) 660-8156",,,2911,"Petroleum Refining",562219,"Other Nonhazardous Waste Treatment and Disposal",34,,"Ham Langston & Brezina (HLB) LLP",161,,Houston,TX,TEXAS,"US Southwest",202874,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-11,,https://www.sec.gov/Archives/edgar/data/890447/000162828022005958/0001628280-22-005958-index.htm,edgar/data/890447/0001628280-22-005958.txt,10-K,"2022-03-11 17:45:09","|Acc - Accounts/loans receivable,  investments  & cash issues|Acc - Revenue recognition issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Untimely or inadequate account reconciliations|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|IC - Journal entry control issues|",13,,USD,"426,556","6,000","432,556",4.44,2021-12-29,"280,981,920",2021-12-31,"207,760,000","-18,364,000","64,864,000","266,060,000",,
"CORVEL CORP",874866,33-0282651,CRVL,"NASDAQ Global Select Market","2010 MAIN STREE","SUITE 1020",IRVINE,Orange,CA,CALIFORNIA,"US West",92614,"(949) 851-1473",,,6411,"Insurance Agents, Brokers, and Service",524298,"All Other Insurance Related Activities",34,"S&P 600 SmallCap","Haskell & White LLP",202,,Irvine,CA,CALIFORNIA,"US West",195532,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-03-31,2021,2021-05-28,,https://www.sec.gov/Archives/edgar/data/874866/000156459021030813/0001564590-21-030813-index.htm,edgar/data/874866/0001564590-21-030813.txt,10-K,"2021-05-28 16:19:00",,,,,0,,USD,"584,355","27,202","611,557",104.65,2021-03-29,"1,870,833,792",2021-03-31,"552,644,000","46,356,000","181,484,000","424,760,000",,
"EDUCATIONAL DEVELOPMENT CORP",31667,73-0750007,EDUC,"NASDAQ Global Market","5402 SOUTH 122ND EAST AVE",,TULSA,Tulsa,OK,OKLAHOMA,"US Southwest",74146,"(918) 622-4522",,,5190,"Wholesale-Miscellaneous Nondurable Goods",511130,"Book Publishers",34,,"HoganTaylor LLP",3772,,Tulsa,OK,OKLAHOMA,"US Southwest",195286,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-02-28,2021,2021-05-13,,https://www.sec.gov/Archives/edgar/data/31667/000118518521000644/0001185185-21-000644-index.htm,edgar/data/31667/0001185185-21-000644.txt,10-K,"2021-05-13 16:14:28",,,,,0,,USD,"204,500","30,000","234,500",16.17,2021-03-02,"135,035,216",2021-02-28,"204,635,100","12,624,000",,"88,850,500",Yes,
"Investar Holding Corp",1602658,27-1560715,ISTR,"NASDAQ Global Market","10500 COURSEY BLVD","THIRD FLOOR","BATON ROUGE","East Baton Rouge",LA,LOUISIANA,"US Southeast",70816,"(225) 227-2222",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,,"Horne LLP",336,,"Baton Rouge",LA,LOUISIANA,"US Southeast",202514,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-09,,https://www.sec.gov/Archives/edgar/data/1602658/000143774922005693/0001437749-22-005693-index.htm,edgar/data/1602658/0001437749-22-005693.txt,10-K,"2022-03-09 16:31:25",,,,,0,,USD,"345,844",0,"345,844",18.34,2021-12-29,"189,699,680",2021-12-31,"72,971,000","8,000,000","198,562,000","2,513,203,000",,
"RENASANT CORP",715072,64-0676974,RNST,"NASDAQ Global Select Market","209 TROY STREET",,TUPELO,Lee,MS,MISSISSIPPI,"US Southeast",38804-4827,"(662) 680-1001",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"S&P 600 SmallCap","Horne LLP",336,,Memphis,TN,TENNESSEE,"US Southeast",200159,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/715072/000071507222000091/0000715072-22-000091-index.htm,edgar/data/715072/0000715072-22-000091.txt,10-K,"2022-02-25 12:25:12",,,,,0,,USD,"759,681","115,624","875,305",38.06,2021-12-29,"2,121,746,304",2021-12-31,"652,653,000","175,892,000","1,246,072,000","16,810,311,000",,
